"positionName","salary","jobType/0","jobType/1","jobType/2","company","location","rating","reviewsCount","url","companyInfo"
"MIS Analyst","₹2,00,000 - ₹6,00,000 a year","Permanent","Full-time",,"Techfacto","Chandigarh","0","0","https://in.indeed.com/viewjob?jk=721e3d5216f71fd1",
"Technical Business Analyst",,"Full-time",,,"UWorld, LLC","Hyderabad, Telangana","3.1","12","https://in.indeed.com/viewjob?jk=e86f76fe84e5ee2e",
"MIS Executive - Samanaickenpalayam (COIMBATORE)","₹15,000 - ₹25,000 a month","Full-time",,,"SREERAM SPHEROIDS & GRAPHITES PVT LTD","Coimbatore, Tamil Nadu","0","0","https://in.indeed.com/viewjob?jk=d8e70a588c4b9ac4",
"Junior Data Analyst","₹3,50,000 - ₹3,90,000 a year","Full-time",,,"Lean Kitchen Network Limited","Remote","0","0","https://in.indeed.com/viewjob?jk=9d21782b8e424ecf",
"Business Analyst (Financial Crime Servicing)","₹15 a day","Full-time",,,"GoTymeX","Hyderabad, Telangana","0","0","https://in.indeed.com/viewjob?jk=f91a2beaaefa91c4",
"Senior Finance Data Analyst",,"Full-time",,,"Taylor and Francis","Bengaluru, Karnataka","3.3","24","https://in.indeed.com/viewjob?jk=3100d837a72978ba",
"Business Analyst",,,,,"HCLTech","Bengaluru, Karnataka","3.7","11369","https://in.indeed.com/viewjob?jk=c5afcabbad57e037",
"Lead Analyst - Business Data Services 4C",,"Full-time",,,"Genpact India Pvt. Ltd.","Noida, Uttar Pradesh","3.8","7883","https://in.indeed.com/viewjob?jk=165a2d85221617db",
"Capabilities & Insights Analytics Analyst - Revenue Excellence",,,,,"McKinsey & Company","Gurugram, Haryana","4.2","946","https://in.indeed.com/viewjob?jk=c4a4bc0bfd6d111a",
"QAD ERP Sr. Business Analyst",,,,,"ASSA ABLOY","Chennai, Tamil Nadu","3.4","963","https://in.indeed.com/viewjob?jk=10151ab5d53240e0",
"Analyst",,,,,"Eclerx","Mumbai, Maharashtra","3.6","1244","https://in.indeed.com/viewjob?jk=d9783b0e35b9c155",
"MIS Executive","₹20,000 - ₹25,000 a month","Full-time",,,"CEOITBOX","Greater Kailash, Delhi","0","0","https://in.indeed.com/viewjob?jk=92385a80869276e1",
"Sr. Fraud Strategy Data Analyst",,"Full-time",,,"Rippling","Bengaluru, Karnataka","2.2","17","https://in.indeed.com/viewjob?jk=78dbe7f76b0faf36",
"MIS Executive","₹10,000 - ₹12,000 a month","Fresher","Full-time",,"Pratyancha Management Services Private Limited","Lucknow, Uttar Pradesh","0","0","https://in.indeed.com/viewjob?jk=d762e997671ccac3",
"Senior Business Intelligence, Data Analytics & Automation Specialist",,,,,"Ford Motor Company","Chennai, Tamil Nadu","4","9760","https://in.indeed.com/viewjob?jk=90876a3c0fb0edd5",
"Business Analyst","₹25,000 - ₹40,000 a year","Full-time",,,"Kotak Education Foundation, Chembur(Deonar)","India","0","0","https://in.indeed.com/viewjob?jk=855234f2ca52c57d",
"Technical Analyst – Projects and Tech Enablement",,"Full-time",,,"Mondelēz International","Mumbai, Maharashtra","3.9","6105","https://in.indeed.com/viewjob?jk=eaa6887be3525e75",
"Lead Associate - Data Analyst",,"Full-time",,,"Myntra","Bengaluru, Karnataka","4.2","290","https://in.indeed.com/viewjob?jk=528e1bcf4299ae5c",
"Executive Data Analyst","₹18,000 - ₹30,000 a month","Permanent","Full-time",,"GRAIN ‘N’ GRACE FOOD INGREDIENTS MANUFACTURING PVT. LTD.","Muvattupuzha, Kerala","0","0","https://in.indeed.com/viewjob?jk=7cce76ac0b97bc9e",
"MIS Executive","₹21,000 - ₹25,000 a month","Full-time",,,"Eagle Network Supply private Limited","Ghitorni, Delhi, Delhi","0","0","https://in.indeed.com/viewjob?jk=445ac35c1f10f9a6",
"Senior Analyst-Data Science",,"Full-time",,,"American Express","Gurugram, Haryana","4.1","9669","https://in.indeed.com/viewjob?jk=a0e2bae674a5f4bb",
"Senior Data Analyst",,"Full-time",,,"Optum","Noida, Uttar Pradesh","3.3","11707","https://in.indeed.com/viewjob?jk=fad348960bafe61c",
"Associate Analyst BSI Data Ops",,"Full-time",,,"Novartis","Hyderabad, Telangana","4.1","4421","https://in.indeed.com/viewjob?jk=0a68acc208ba1aea",
"MIS Executive","₹11,211.25 - ₹20,000.00 a month","Full-time",,,"R V TEX PVT LTD 9981039699","Jabalpur, Madhya Pradesh","0","0","https://in.indeed.com/viewjob?jk=e02609bee1f81bc0",
"Technical Business Analyst","₹4,25,490.16 - ₹9,32,493.34 a year","Full-time",,,"Advantal Technologies Ltd.","Gurgaon H.O, Gurugram, Haryana","0","0","https://in.indeed.com/viewjob?jk=2d3fc7fec1043422",
"MIS Executive","₹20,000 - ₹30,000 a month","Full-time",,,"Sangeetha Mobiles Pvt Ltd","Jayanagar, Bengaluru, Karnataka","3.6","43","https://in.indeed.com/viewjob?jk=53b85ac3c121ff1a",
"MIS Executive","₹12,000 - ₹15,000 a month","Full-time",,,"sarah vision","Kalbadevi, Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=d9b27df1efd2c5fd",
"Senior Analyst, Digital Analytics (L09)",,,,,"Synchrony","Hyderabad, Telangana","3.8","1343","https://in.indeed.com/viewjob?jk=50b0773fd7d38e18",
"Data Analyst 5B",,"Full-time",,,"Genpact India Pvt. Ltd.","Gurugram, Haryana","3.8","7883","https://in.indeed.com/viewjob?jk=1dacbfcbdc1ad105",
"Staff Business Analyst (Employer of Record)","₹27,71,295 - ₹40,64,566 a year","Full-time",,,"Credit Acceptance","Remote","3.5","539","https://in.indeed.com/viewjob?jk=8a7e923c9acafb2e",
"Business Analyst, Implementations",,,,,"EquiLend","Bengaluru, Karnataka","4","32","https://in.indeed.com/viewjob?jk=5dbefa49c1331cc2",
"Global People Analytics Analyst - Data Engineering",,"Full-time",,,"Boston Consulting Group","Gurugram, Haryana","4.2","535","https://in.indeed.com/viewjob?jk=9e12d33e31c9aee0",
"Analyst / Senior Analyst","₹6,00,000 - ₹11,00,000 a year","Full-time",,,"MarketsandMarkets","Pune, Maharashtra","3.4","82","https://in.indeed.com/viewjob?jk=86a3ea36b023b2e0",
"Business Analyst","₹8,00,000 - ₹10,00,000 a year","Full-time",,,"VETIC","Gurugram, Haryana","3","2","https://in.indeed.com/viewjob?jk=a6b4b8ae27a63d1d",
"Data Analyst","₹5,00,000 a year","Fresher","Full-time",,"Energine","Bengaluru, Karnataka","0","0","https://in.indeed.com/viewjob?jk=bf73a6938ac3896f",
"IT Business Analyst","₹2,00,000 - ₹5,00,000 a year","Full-time",,,"Olio Global AdTech LLP","Ghatkopar, Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=121d47a3ef748283",
"Senior Business Analyst(Capital Market)",,"Full-time",,,"Genesis Global","Bengaluru, Karnataka","4","7","https://in.indeed.com/viewjob?jk=b35dcc459bb5cc1e",
"MIS Executive","₹15,000 - ₹25,000 a month","Permanent","Full-time",,"ASCENT E-DIGIT SOLUTIONS PVT LTD","Chennai, Tamil Nadu","4","1","https://in.indeed.com/viewjob?jk=7f88494ec97cfbbf",
"Data Analytics with Power BI trainer","₹550 - ₹1,000 an hour","Freelance",,,"Netcraftz Edutech pvt lts","Kengeri, Bengaluru, Karnataka","0","0","https://in.indeed.com/viewjob?jk=bba6eaaf31f6522d",
"Power BI Data Analyst","₹9,00,000 - ₹12,00,000 a year","Contractual / Temporary",,,"Excel solution","Wadala, Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=f0cd74e185e36525",
"MIS Executive","₹25,000 - ₹30,000 a month","Full-time",,,"Mittal Distributors India","Shastri Nagar, Delhi, Delhi","0","0","https://in.indeed.com/viewjob?jk=db5472e3919ebc2b",
"Open Secret - Data Analyst","₹60,000 - ₹70,000 a month","Full-time",,,"Open Secret","Mumbai, Maharashtra","4.3","3","https://in.indeed.com/viewjob?jk=5669b5235b085bd9",
"MIS Executive","₹10,000 - ₹18,000 a month","Permanent","Full-time",,"Promark Advertising LLP","Kalikapur, Kolkata, West Bengal","5","1","https://in.indeed.com/viewjob?jk=c739fc3ee59c4e02",
"Sr. SAP Business Analyst (Retail)",,"Full-time",,,"Levi Strauss & Co.","Bengaluru, Karnataka","3.8","3678","https://in.indeed.com/viewjob?jk=ebc9733523e3df9d",
"Business Analyst","₹4,15,434.16 - ₹15,24,715.54 a year","Full-time",,,"SandV Capitals Private Limited","Hyderabad, Telangana","0","0","https://in.indeed.com/viewjob?jk=6879f4c22b10826f",
"Insights Associate Analyst",,,,,"PepsiCo","Hyderabad, Telangana","3.7","21463","https://in.indeed.com/viewjob?jk=3fc7704a3c7df428",
"Business Analyst, Power Platform Specialist",,"Full-time",,,"Genpact India Pvt. Ltd.","Gurugram, Haryana","3.8","7883","https://in.indeed.com/viewjob?jk=a60a67282aa38e87",
"Business Analyst - Enterprise Programs 4B",,"Full-time",,,"Genpact India Pvt. Ltd.","Chennai, Tamil Nadu","3.8","7883","https://in.indeed.com/viewjob?jk=8a53ee1b9b4d60a3",
"Data Analyst / Power BI Trainer","₹550 - ₹650 an hour","Freelance",,,"Netcraftz","Kengeri, Bengaluru, Karnataka","4.7","3","https://in.indeed.com/viewjob?jk=a2c79a28091f4941",
"MIS Analyst","₹5,00,000 - ₹8,00,000 a year","Permanent","Full-time",,"RADCLIFFE SCHOOL","Sion, Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=c423de4f7071cbf9",
"Business Analyst, Product Cost Management",,"Full-time",,,"Genpact India Pvt. Ltd.","Mumbai, Maharashtra","3.8","7883","https://in.indeed.com/viewjob?jk=e05e1ccb7247e441",
"Business Analyst - Associate",,,,,"KG Information Systems","Coimbatore, Tamil Nadu","3.7","86","https://in.indeed.com/viewjob?jk=d048b1f0871847ba",
"Sales Operations Analyst",,,,,"Dolby","Mumbai, Maharashtra","4","113","https://in.indeed.com/viewjob?jk=080f9b239820624b",
"MIS Executive",,,,,"Infosearch BPO Services","Comprol, Goa","4.3","9","https://in.indeed.com/viewjob?jk=1a6d9833d2b1a337",
"Senior Analyst - Data Engineering",,"Permanent",,,"LatentView Analytics","Chennai, Tamil Nadu","3.8","50","https://in.indeed.com/viewjob?jk=dd87fdc05997183a",
"Lead, ERP Business Analyst",,"Full-time",,,"Schneider Electric","Bengaluru, Karnataka","3.9","6000","https://in.indeed.com/viewjob?jk=123b5dfebdd841bb",
